Label,Type,CLO_C,CL_C,UBERON_C,BTO_C,CLO_M,CL_M,UBERON_M,BTO_M
CD8 Naive 8pool,CT,-,"naive thymus-derived CD8-positive, alpha-beta T cell",thymus,-,immortal immature T cell line cell,"naive thymus-derived CD8-positive, alpha-beta T cell",cortex of thymus,naive T-lymphocyte
Preadipocyte - subcutaneous donor2,CT,-,subcutaneous preadipocyte,subcutaneous adipose tissue,-,primary cultured fat cell,subcutaneous preadipocyte,subcutaneous adipose tissue,subcutaneous adipose tissue
CD14+ monocytes - treated with IFN + N-hexane donor2,CT,-,CD14-positive monocyte,-,-,immortal monocyte cell line cell,macrophage,blood vasculature,mononuclear phagocyte
tamoxifen_EC5,CT,-,type EC enteroendocrine cell,-,-,immortal endothelial cell line cell,endothelial cell,endothelium,endothelial cell
Matrix_Fibrob_2_E,CT,-,-,-,-,immortal fibroblast cell line cell,fibroblast,connective tissue,fibroblast
B_C,CT,-,-,-,-,immortal B cell line cell,B cell,immune organ,B-lymphocyte
STAD,CT,-,-,-,-,immortal stomach-derived cell line cell,smooth muscle cell of stomach,stomach,gastric adenocarcinoma cell
pDC,CT,-,plasmacytoid dendritic cell,-,plasmacytoid dendritic cell,immortal dendritic cell line cell,plasmacytoid dendritic cell,immune organ,plasmacytoid dendritic cell
astrocyte_of_the_spinal_cord,CT,-,astrocyte of the spinal cord,spinal cord,-,immortal astrocyte cell line cell,astrocyte of the spinal cord,spinal cord,astrocyte
Chondrocyte - re diff donor3,CT,-,chondrocyte,-,chondrocyte,mesenchymal stem cell line cell,chondrocyte,cartilage tissue,chondrocyte
breast_tumour_metastasis,CT,-,-,breast,-,immortal breast-derived cell line cell,mammary gland epithelial cell,breast,breast cancer cell line
Megakaryo_adrenal,CT,-,megakaryocyte,adrenal gland,megakaryocyte,immortal megakaryocyte-erythroid progenitor cell line cell,megakaryocyte,adrenal tissue,megakaryocyte
