Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
EM CD4+ ab T (PB),CT,-,-,CL_0000624,CL_0000624,UBERON_0000178,UBERON_0000178,-,-
LY1,CL,-,-,CL_0000236,CL_0000236,UBERON_0000178,UBERON_0000178,-,-
B_B,CT,-,-,CL_0000236,CL_0000236,UBERON_0000178,-,BTO_0000776,BTO_0000776
CD8 Naive 8pool,CT,-,-,CL_0000900,CL_0000906,UBERON_0002370,UBERON_0002370,-,-
Preadipocyte - subcutaneous donor2,CT,-,-,CL_0002334,CL_0002228,UBERON_0002190,UBERON_0004138,BTO_0001107,BTO_0001107
Skin_Sun_Exposed_Lower_leg,A,-,-,CL_0000066,-,UBERON_0001003,UBERON_0012778,-,BTO_0001289
CD14+ monocytes - treated with IFN + N-hexane donor2,CT,-,-,CL_0001054,CL_0001054,UBERON_0000178,UBERON_0000178,BTO_0000876,BTO_0000876
tamoxifen_EC5,CT,-,-,CL_0002149,CL_0002149,UBERON_0001295,UBERON_0001295,-,-
Fetal Brain Male,A,-,-,CL_0002319,CL_0002319,UBERON_0000955,UBERON_0000955,BTO_0000142,BTO_0000142
liver,A,-,-,CL_0000182,-,UBERON_0002107,UBERON_0002107,BTO_0000759,BTO_0000738
Matrix_Fibrob_2_E,CT,-,-,CL_0000057,CL_0000057,UBERON_0002384,UBERON_0002384,BTO_0000452,BTO_0000752
B_C,CT,-,-,CL_0000236,CL_0000236,UBERON_0000178,UBERON_0000178,BTO_0000776,BTO_0000776
STAD,CT,-,-,CL_0002659,CL_0010008,UBERON_0000945,UBERON_0000945,BTO_0000036,BTO_0000782
CRC_17A,CL,-,-,CL_0011108,-,UBERON_0001155,UBERON_0001155,-,-
pDC,CT,-,-,CL_0000784,CL_0000785,UBERON_0000178,UBERON_0000178,BTO_0004625,BTO_0002254
astrocyte_of_the_spinal_cord,CT,-,-,CL_0002606,CL_0000125,UBERON_0002240,UBERON_0002240,-,-
Chondrocyte - re diff donor3,CT,-,-,CL_0000138,CL_0000138,UBERON_0002418,UBERON_0002418,BTO_0000249,BTO_0000664
heart adult diseased post-infarction donor1,A,-,-,CL_0002494,CL_0002494,UBERON_0000948,UBERON_0000948,-,BTO_0000752
V389,CL,-,-,CL_0011108,-,UBERON_0001155,-,-,-
breast_tumour_metastasis,CT,-,-,-,CL_0002327,UBERON_0000310,UBERON_0000310,BTO_0000150,-
T (PB),CL,-,-,CL_0000084,CL_0000084,UBERON_0000178,UBERON_0000178,BTO_0000782,BTO_0000797
testis adult pool2,A,-,-,-,CL_0008019,UBERON_0000473,UBERON_0000472,BTO_0001363,BTO_0001338
submaxillary gland adult,A,-,-,CL_0000151,CL_0000077,UBERON_0001736,UBERON_0000246,BTO_0001316,BTO_0001644
Megakaryo_adrenal,CT,-,-,CL_0000556,CL_0000484,UBERON_0002369,UBERON_0002369,-,-
Brain Hippocampus Middle 150,A,-,-,CL_0002319,CL_0002402,UBERON_0002421,UBERON_0000103,BTO_0000601,-
germinal matrix,A,-,-,CL_0002319,CL_0002319,UBERON_0000955,UBERON_0002020,-,-
