697	CLO_0001008	CL_0000817	UBERON_0002371	BTO_0001969	CL
293Trex_B4Nflag_No	CLO_0037238	CL_0002518	UBERON_0002113	BTO_0005238	CL
2C6	CLO_0050256	CL_0000083	UBERON_0001264	-	CL
2nd_trimester_human_fetal_testis	-	-	UBERON_0000473	BTO_0001363	A
3128_GBM	-	-	UBERON_0000955	-	-
3332_GBM	-	-	UBERON_0000955	-	-
402-91	-	CL_0000136	UBERON_0001013	-	CL
416B	-	-	-	-	-
429_Tumor_H3.3K27WT	-	-	UBERON_0000955	-	-
4star	-	CL_0002322	UBERON_0000922	-	CL
501-mel	-	CL_0000148	UBERON_0001003	-	CL
501Mel_melanoma	-	CL_0000148	UBERON_0001003	-	CL
7250-empty	-	-	UBERON_0001134	-	-
7250-PAX3-FOXO1	-	-	UBERON_0001134	-	-
750N	-	CL_1000497	UBERON_0002113	-	CT
750T	-	CL_1000497	UBERON_0002113	-	CT
753N	-	CL_1000497	UBERON_0002113	-	CT
753T	-	CL_1000497	UBERON_0002113	-	CT
786-M1A	-	CL_1000497	UBERON_0002113	-	CL
786-M1A_Renal_cell_carcinoma	-	CL_1000497	UBERON_0002113	-	CL
786-O	CLO_0001486	CL_1000497	UBERON_0002113	-	CL
786-O PBRM1 shRNA#1	CLO_0001486	CL_1000497	UBERON_0002113	-	CL
786-O PBRM1 shRNA#2	CLO_0001486	CL_1000497	UBERON_0002113	-	CL
786-O_control	CLO_0001486	CL_1000497	UBERON_0002113	-	CL
786-O_empty_vector	CLO_0001486	CL_1000497	UBERON_0002113	-	CL
786-O_HIF2A	CLO_0001486	CL_1000497	UBERON_0002113	-	CL
786-O_non-targeting	CLO_0001486	CL_1000497	UBERON_0002113	-	CL
786-O_wtVHL	CLO_0001486	CL_1000497	UBERON_0002113	-	CL
786o-hif1a	CLO_0001486	CL_1000497	UBERON_0002113	-	CL
786o-hif2a	CLO_0001486	CL_1000497	UBERON_0002113	-	CL
81-3	CLO_0001001	CL_0000542	UBERON_0000178	-	CL
8305C	CLO_0001510	CL_0002257	UBERON_0002046	BTO_0000919	CL
8505C	CLO_0001513	CL_0002257	UBERON_0002046	BTO_0005550	CL
90-8TL_DMSO	-	-	UBERON_0000955	-	CL
90-8TL_PDJQ	-	-	UBERON_0000955	-	CL
A1-2_breast_cancer_cells	CLO_0009251	CL_0002327	UBERON_0000310	BTO_0001248	CL
A-137	-	CL_0002327	UBERON_0000310	-	CL
A137_ER-_PR-_HER2-_breast_cancer_cells	-	CL_0002327	UBERON_0000310	-	CL
A139	-	CL_0002327	UBERON_0000310	-	CL
A139_ER-_PR-_HER2-_breast_cancer_cells	-	CL_0002327	UBERON_0000310	-	CL
A172	CLO_0001560	CL_0000125	UBERON_0000955	BTO_0000016	CL
A-1847	-	-	UBERON_0000992	BTO_0002562	CL
A1A3	-	CL_0002327	UBERON_0000310	-	CL
A1A3breast_cancer_cells	-	CL_0002327	UBERON_0000310	-	CL
A2780	CLO_0001571	CL_0000066	UBERON_0000992	-	CL
A2780_shMBD3.232	CLO_0001571	CL_0000066	UBERON_0000992	-	CL
A2780_shMBD3.26	CLO_0001571	CL_0000066	UBERON_0000992	-	CL
A2780_shRen	CLO_0001571	CL_0000066	UBERON_0000992	-	CL
A2780cis	CLO_0001573	CL_0000066	UBERON_0000992	-	CL
A375	CLO_0001582	CL_2000000	UBERON_0001003	BTO_0002806	CL
A-375	CLO_0001582	CL_2000000	UBERON_0001003	BTO_0002806	CL
A375 DMSO	CLO_0001582	CL_2000000	UBERON_0001003	BTO_0002806	CL
A375 RTKi	CLO_0001582	CL_2000000	UBERON_0001003	BTO_0002806	CL
A375_DMSO	CLO_0001582	CL_2000000	UBERON_0001003	BTO_0002806	CL
A375_malignant_melanoma	CLO_0001582	CL_2000000	UBERON_0001003	BTO_0002806	CL
A375_malignant_melanoma_A771726	CLO_0001582	CL_2000000	UBERON_0001003	BTO_0002806	CL
A375_malignant_melanoma_DMSO	CLO_0001582	CL_2000000	UBERON_0001003	BTO_0002806	CL
A431	CLO_0001591	CL_0002190	UBERON_0001003	BTO_0000017	CL
A498	-	CL_1000497	UBERON_0002113	-	CL
A-498	-	CL_1000497	UBERON_0002113	-	CL
A-498_emptyvector	-	CL_1000497	UBERON_0002113	-	CL
A-498_wtVHL	-	CL_1000497	UBERON_0002113	-	CL
A549	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A-549	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549 DMSO	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549 EtOH 0.02pct lung carcinoma	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549 EtOH 0.02pct Lung Carcinoma Cell Line	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549 FOXA2 overexpressed	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549 FOXA2 shRNA2	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549 GFP control	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549 shRNA control	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549 TEAD2 shRNA TGFb	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549 TEAD4 shRNA TGFb	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549 TGFb	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_0h_only	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_0h_sciCAR	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_1	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_1h_only	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_1h_sciCAR	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_3h_only	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_3h_sciCAR	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_dexamethasone_0.5h	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_dexamethasone_12h	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_dexamethasone_1h	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_dexamethasone_2h	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_dexamethasone_3h	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_dexamethasone_4h	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_dexamethasone_5h	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_dexamethasone_6h	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_dexamethasone_7h	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_dexamethasone_8h	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_Dex-treated	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_ethanol_1h	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_EtOH_0.02pct_Lung_Carcinoma	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_lung_carcinoma	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A549_TGFBeta_72h	CLO_0001601	CL_0000082	UBERON_0002048	BTO_0000018	CL
A673	CLO_0001605	CL_0000187	UBERON_0005090	BTO_0003768	CL
A-673	CLO_0001605	CL_0000187	UBERON_0005090	BTO_0003768	CL
A673 STAG2 null	CLO_0001605	CL_0000187	UBERON_0005090	BTO_0003768	CL
A673 STAG2 WT	CLO_0001605	CL_0000187	UBERON_0005090	BTO_0003768	CL
A673/TR/shEF1 Cells	CLO_0001605	CL_0000187	UBERON_0005090	BTO_0003768	CL
A-673_clone_Asp114_Ewing_sarcoma	CLO_0001605	CL_0000187	UBERON_0005090	BTO_0003768	CL
A673_Ewing_sarcoma	CLO_0001605	CL_0000187	UBERON_0005090	BTO_0003768	CL
A673_SA2 Rescue	CLO_0001605	CL_0000187	UBERON_0005090	BTO_0003768	CL
A673_WT	CLO_0001605	CL_0000187	UBERON_0005090	BTO_0003768	CL
A-673-clone-Asp114	CLO_0001605	CL_0000187	UBERON_0005090	BTO_0003768	CL
A9	-	-	-	-	-
AB32	-	CL_0002327	UBERON_0000310	-	CL
AB-LCL	-	CL_0000542	UBERON_0000178	-	CL
AC16	-	CL_2000046	UBERON_0002082	-	CL
AC16_normal_cardiomyocytes	-	CL_2000046	UBERON_0002082	-	CL
AC16_normal_cardiomyocytes_TNFA	-	CL_2000046	UBERON_0002082	-	CL
acantholytic squamous carcinoma cell line:HCC1806	CLO_0003644	CL_0000076	UBERON_0000310	BTO_0006395	CL
ACC112	-	CL_1001596	UBERON_0001044	-	CL
ACC-MESO-1	CLO_0050082	CL_0002078	UBERON_0000977	BTO_0005907	CL
ACC-MESO-4	CLO_0050083	CL_0002078	UBERON_0000977	-	CL
Acinar_pancreas	-	CL_0002064	UBERON_0001264	BTO_0000028	CT
Activated_CD4_T_t	-	CL_0000896	UBERON_0000178	-	CT
acute lymphoblastic leukemia (B-ALL) cell line:BALL-1	CLO_0037300	CL_0000236	UBERON_0000178	BTO_0001148	CL
acute lymphoblastic leukemia (B-ALL) cell line:NALM-6	CLO_0007938	CL_0000817	UBERON_0002371	BTO_0003288	CL
acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL	CLO_0003817	CL_0000084	UBERON_0000178	BTO_0001952	CL
acute lymphoblastic leukemia (T-ALL) cell line:Jurkat	CLO_0007043	CL_0000084	UBERON_0000178	BTO_0000661	CL
acute myeloid leukemia	-	CL_0000763	UBERON_0000178	BTO_0001545	CT
acute myeloid leukemia (FAB M0) cell line:KG-1	CLO_0007093	CL_0000235	UBERON_0002371	BTO_0000670	CL
acute myeloid leukemia (FAB M1) cell line:HYT-1	CLO_0051543	CL_0000763	UBERON_0000178	-	CL
acute myeloid leukemia (FAB M2) cell line:Kasumi-1	CLO_0007069	CL_0000763	UBERON_0000178	BTO_0004136	CL
acute myeloid leukemia (FAB M2) cell line:Kasumi-6	CLO_0007072	CL_0000763	UBERON_0000178	-	CL
acute myeloid leukemia (FAB M2) cell line:NKM-1	CLO_0009850	CL_0000763	UBERON_0000178	-	CL
acute myeloid leukemia (FAB M3) cell line:HL60	CLO_0003775	CL_0000763	UBERON_0000178	BTO_0000738	CL
acute myeloid leukemia (FAB M4) cell line:FKH-1	CLO_0050983	CL_0000763	UBERON_0000178	-	CL
acute myeloid leukemia (FAB M4) cell line:HNT-34	CLO_0050982	CL_0000763	UBERON_0000178	-	CL
acute myeloid leukemia (FAB M4eo) cell line:EoL-1	CLO_0002932	CL_0000763	UBERON_0000178	BTO_0002405	CL
acute myeloid leukemia (FAB M4eo) cell line:EoL-3	CLO_0050997	CL_0000763	UBERON_0000178	-	CL
acute myeloid leukemia (FAB M5) cell line:NOMO-1	CLO_0009851	CL_0002194	UBERON_0002371	-	CL
acute myeloid leukemia (FAB M5) cell line:P31/FUJ	CLO_0009855	CL_0000763	UBERON_0000178	-	CL
acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh)	CLO_0009348	CL_0000576	UBERON_0000178	BTO_0001370	CL
acute myeloid leukemia (FAB M5) cell line:THP-1 (revived)	CLO_0009348	CL_0000576	UBERON_0000178	BTO_0001370	CL
acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed)	CLO_0009348	CL_0000576	UBERON_0000178	BTO_0001370	CL
acute myeloid leukemia (FAB M5) cell line:U-937 DE-4	CLO_0050122	CL_0000576	UBERON_0000178	BTO_0001412	CL
acute myeloid leukemia (FAB M6) cell line:EEB	CLO_0051023	CL_0000764	UBERON_0000178	-	CL
acute myeloid leukemia (FAB M6) cell line:F-36E	CLO_0051545	CL_0000763	UBERON_0000178	-	CL
acute myeloid leukemia (FAB M6) cell line:F-36P	CLO_0051549	CL_0000763	UBERON_0000178	-	CL
acute myeloid leukemia (FAB M7) cell line:MKPL-1	-	CL_0000553	UBERON_0002371	-	CL
acute myeloid leukemia (FAB M7) cell line:M-MOK	CLO_0051548	CL_0000553	UBERON_0002371	-	CL
Acute Myeloid Leukemia Cell	-	CL_0000763	UBERON_0000178	BTO_0001545	CT
Acute T-Cell Leukaemia Cell	-	CL_0000084	UBERON_0000178	BTO_0001106	CT
acute_myeloblastic_leukemia	-	CL_0000763	UBERON_0000178	BTO_0001545	CT
acute_promyelocytic_leukemia_blasts	-	CL_0000763	UBERON_0000178	BTO_0004585	CT
adenocarcinoma cell line:IM95m	-	CL_0002178	UBERON_0000945	-	CL
Adipocyte	-	CL_0000136	UBERON_0001013	BTO_0000443	CT
adipocyte	-	CL_0000136	UBERON_0001013	BTO_0000443	CT
Adipocyte - breast donor1	-	CL_0002617	UBERON_0000310	-	CT
Adipocyte - breast donor2	-	CL_0002617	UBERON_0000310	-	CT
Adipocyte - omental donor1	-	CL_0002615	UBERON_0003688	-	CT
Adipocyte - omental donor2	-	CL_0002615	UBERON_0003688	-	CT
Adipocyte - omental donor3	-	CL_0002615	UBERON_0003688	-	CT
Adipocyte - perirenal donor1	-	CL_0002616	UBERON_0005406	-	CT
Adipocyte - subcutaneous donor1	-	CL_0002521	UBERON_0002190	-	CT
Adipocyte - subcutaneous donor2	-	CL_0002521	UBERON_0002190	-	CT
Adipocyte - subcutaneous donor3	-	CL_0002521	UBERON_0002190	-	CT
Adipose	-	CL_0000136	UBERON_0001013	BTO_0000443	CT
Adipose Derived Mesenchymal Stem Cell Cultured Cells	-	CL_0000134	UBERON_0003104	-	CT
Adipose Nuclei	-	CL_0000136	UBERON_0001013	BTO_0000443	CT
Adipose nuclei	-	CL_0000136	UBERON_0001013	BTO_0000443	CT
Adipose Progenitor Cell	-	CL_0002334	UBERON_0001013	-	CT
Adipose stromal cells	-	CL_0000136	UBERON_0001013	BTO_0000443	CT
Adipose Tissue	-	CL_0000136	UBERON_0001013	BTO_0001487	A
adipose tissue adult pool1	-	CL_0000136	UBERON_0001013	BTO_0001487	A
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	-	CL_0000134	UBERON_0003104	-	CT
Adipose_Nuclei	-	CL_0000136	UBERON_0001013	-	CT
Adipose_Subcutaneous	-	CL_0002521	UBERON_0002190	BTO_0004042	A
Adipose_Visceral_Omentum	-	CL_0002615	UBERON_0003688	-	A
Adipose-derived mesenchymal stem cells	-	CL_0000134	UBERON_0003104	-	CT
adipose-tissue	-	CL_0000136	UBERON_0001013	BTO_0001487	A
Adrenal	-	CL_0000150	UBERON_0002369	BTO_0000047	A
adrenal cortex adenocarcinoma cell line:SW-13	CLO_0009209	CL_1001601	UBERON_0009753	-	CL
Adrenal Gland	-	CL_0000150	UBERON_0002369	BTO_0000047	A
adrenal gland	-	CL_0000150	UBERON_0002369	BTO_0000047	A
adrenal gland 30y	-	CL_0000150	UBERON_0002369	BTO_0000047	A
adrenal gland 54y	-	CL_0000150	UBERON_0002369	BTO_0000047	A
adrenal gland_37y	-	CL_0000150	UBERON_0002369	BTO_0000047	A
Adrenal_Gland	-	CL_0000150	UBERON_0002369	BTO_0000047	A
adrenal_gland	-	CL_0000150	UBERON_0002369	BTO_0000047	A
adrenal-gland	-	CL_0000150	UBERON_0002369	BTO_0000047	A
adrenal-gland_97d	-	CL_0000150	UBERON_0002369	BTO_0000047	A
Adrenoc_4	-	CL_0002097	UBERON_0002369	BTO_0005817	CT
Adrenoc_5	-	CL_0002097	UBERON_0002369	BTO_0005817	CT
Adrenoc_8	-	CL_0002097	UBERON_0002369	BTO_0005817	CT
Adrenocortical_adrenal_3	-	CL_0002097	UBERON_0002369	BTO_0005817	CT
Adrenocortical_adrenal_5	-	CL_0002097	UBERON_0002369	BTO_0005817	CT
Adrenocortical_adrenal_7	-	CL_0002097	UBERON_0002369	BTO_0005817	CT
Adrenocortical_adrenal_8	-	CL_0002097	UBERON_0002369	BTO_0005817	CT
adult CD4+CD25-CD45RA+CD27+ naive T cells	-	CL_0000898	UBERON_0002370	-	CT
adult CD4+CD25hiCD127lo regulatory T cells	-	CL_0000815	UBERON_0002405	-	CT
adult T-cell leukemia cell line:ATN-1	CLO_0050985	CL_0000084	UBERON_0000178	-	CL
adult_dermal_fibroblasts	-	CL_0002551	UBERON_0002067	BTO_0004419	CT
Adult_Liver	-	CL_0000182	UBERON_0002107	BTO_0000759	A
adult-duodenal-cell	-	CL_0002254	UBERON_0002114	-	CT
AF22	-	CL_0002620	UBERON_0002067	-	CL
AFG	-	CL_0000034	UBERON_0000922	-	CT
AG04449	CLO_0034837	CL_0002620	UBERON_0001003	-	CL
AG04449_fibroblasts	CLO_0034837	CL_0002620	UBERON_0001003	-	CL
AG04450	-	CL_0002553	UBERON_0002048	-	CL
AG04450_fibroblasts	-	CL_0002553	UBERON_0002048	-	CL
AG09309	CLO_0021752	CL_0002620	UBERON_0001003	-	CL
AG09309_fibroblasts	CLO_0021752	CL_0002620	UBERON_0001003	-	CL
AG09319	CLO_0021754	CL_0000057	UBERON_0001828	-	CL
AG09319_fibroblasts	CLO_0021754	CL_0000057	UBERON_0001828	-	CL
AG10803	CLO_0021511	CL_0002620	UBERON_0003684	-	CL
AG10803_fibroblasts	CLO_0021511	CL_0002620	UBERON_0003684	-	CL
aggregated-lymphoid-nodules	-	CL_0000542	UBERON_0000029	-	A
AGS	CLO_0001686	CL_0002178	UBERON_0000945	BTO_0001007	CL
AGS_gastric_adenocarcinoma	CLO_0001686	CL_0002178	UBERON_0000945	BTO_0001007	CL
ALL	-	CL_0000542	UBERON_0000178	BTO_0000731	CT
ALL-SIL	-	CL_0000084	UBERON_0000178	BTO_0005360	CL
alveolar cell carcinoma cell line:SW 1573	CLO_0009190	CL_0010003	UBERON_0002299	BTO_0003016	CL
Alveolar Epithelial Cells donor1	-	CL_0010003	UBERON_0002299	BTO_0005760	CT
Alveolar Epithelial Cells donor2	-	CL_0010003	UBERON_0002299	BTO_0005760	CT
AMIPS6	-	-	-	-	-
AMIPS8	-	-	-	-	-
AML	-	CL_0000763	UBERON_0000178	BTO_0001545	CT
AML cell	-	CL_0000763	UBERON_0000178	BTO_0001545	CT
AML_blast	-	CL_0000763	UBERON_0000178	BTO_0001545	CT
AML_monocytes_and_acute_myeloid_leukemia	-	CL_0000763	UBERON_0000178	BTO_0001545	CT
AML10	-	CL_0000763	UBERON_0000178	-	CT
AML11	-	CL_0000763	UBERON_0000178	-	CT
AML8	-	CL_0000763	UBERON_0000178	-	CT
AMLBLAST	-	CL_0000763	UBERON_0000178	BTO_0001545	CT
AMLPZ12	-	-	-	-	-
Amniotic Epithelial Cells donor1	-	CL_0002536	UBERON_0000305	BTO_0001005	CT
Amniotic Epithelial Cells donor3	-	CL_0002536	UBERON_0000305	BTO_0001005	CT
amniotic membrane cells donor1	-	CL_0002536	UBERON_0000305	-	CT
amniotic membrane cells donor2	-	CL_0002536	UBERON_0000305	-	CT
amniotic membrane cells donor3	-	CL_0002536	UBERON_0000305	-	CT
AMU-AML1	-	CL_0000763	UBERON_0000178	-	CT
amygdala - adult donor10196	-	CL_0002319	UBERON_0001876	BTO_0001042	A
amygdala adult donor10252	-	CL_0002319	UBERON_0001876	BTO_0001042	A
AN3 CA	CLO_0001722	CL_0002149	UBERON_0001295	BTO_0001771	CL
anaplastic carcinoma cell line:8305C	CLO_0001510	CL_0002257	UBERON_0002046	BTO_0000919	CL
anaplastic large cell lymphoma cell line:Ki-JK	-	CL_0000542	UBERON_0000178	-	CL
anaplastic large cell lymphoma cells_ALK+#208	-	CL_0002419	UBERON_0002405	BTO_0002505	CT
anaplastic large cell lymphoma cells_ALK+#54	-	CL_0002419	UBERON_0002405	BTO_0002505	CT
anaplastic squamous cell carcinoma cell line:RPMI 2650	CLO_0008876	CL_0000076	UBERON_0001706	BTO_0004205	CL
anterior-temporal-cortex	-	CL_0002319	UBERON_0016538	-	A
Antigen_present_thymus	-	-	UBERON_0002370	-	CT
Antigen_presenting_thymus	-	-	UBERON_0002370	-	CT
Anulus Pulposus Cell donor1	-	CL_0002602	UBERON_0004715	-	CT
Anulus Pulposus Cell donor2	-	CL_0002602	UBERON_0004715	-	CT
Aorta	-	-	UBERON_0000947	BTO_0000135	A
aorta	-	-	UBERON_0000947	BTO_0000135	A
aorta adult pool1	-	-	UBERON_0000947	BTO_0000135	A
Aortic Endothelial Cells_DF	-	CL_0002544	UBERON_0000947	BTO_0003245	CT
Aortic Endothelial Cells_UF	-	CL_0002544	UBERON_0000947	BTO_0003245	CT
aortic valve interstitial cells	-	CL_4030032	UBERON_0002137	-	CT
aortic_adventitial_fibroblasts	-	CL_0002547	UBERON_0007240	BTO_0005640	CT
aortic-endothelial-cell	-	CL_0002544	UBERON_0000947	BTO_0003245	CT
aortic-smooth-muscle-cell	-	CL_0002539	UBERON_0000947	BTO_0004577	CT
appendix adult	-	CL_1000405	UBERON_0001154	BTO_0000084	A
argyrophil small cell carcinoma cell line:TC-YIK	-	CL_0002535	UBERON_0000002	-	CL
ARH-77	CLO_0001745	CL_0000236	UBERON_0000178	BTO_0002992	CL
arterial-endothelial-cells	-	CL_1000413	UBERON_0001637	BTO_0004758	CT
Arteries_C	-	-	UBERON_0001637	BTO_0000573	A
Arteries_E	-	-	UBERON_0001637	BTO_0000573	A
artery	-	-	UBERON_0001637	BTO_0000573	A
Artery_Aorta	-	-	UBERON_0000947	BTO_0000135	A
Artery_Coronary	-	-	UBERON_0001621	BTO_0000290	A
Artery_Tibial	-	-	UBERON_0007610	-	A
artery-smooth-muscle	-	CL_0000192	UBERON_0002111	BTO_0000087	CT
ASC	-	CL_0000136	UBERON_0001013	BTO_0000443	CT
ascending aorta	-	-	UBERON_0001496	-	A
ascending_aorta	-	-	UBERON_0001496	-	A
ascending-aorta	-	-	UBERON_0001496	-	A
Aska shCt	-	CL_0000214	UBERON_0004905	-	-
Aska shSSX	-	CL_0000214	UBERON_0004905	-	-
Aska-BAF47KO1 shCt	-	CL_0000214	UBERON_0004905	-	-
Aska-BAF47KO1 shSSX	-	CL_0000214	UBERON_0004905	-	-
Aska-SS	-	CL_0000214	UBERON_0004905	-	CL
ASMSCs	-	CL_0000134	UBERON_0003104	-	CT
AsPC-1	CLO_0001756	CL_0000083	UBERON_0001264	BTO_0001864	CL
AsPC1 WT	CLO_0001756	CL_0000083	UBERON_0001264	BTO_0001864	CL
AsPC1_GFP_DOX	CLO_0001756	CL_0000083	UBERON_0001264	BTO_0001864	CL
AsPC1_TP63dN_DOX	CLO_0001756	CL_0000083	UBERON_0001264	BTO_0001864	CL
AsPC1-untreated	CLO_0001756	CL_0000083	UBERON_0001264	BTO_0001864	CL
Astro_cerebellum	-	CL_0002603	UBERON_0002037	-	CT
Astro_cerebrum	-	CL_0000127	UBERON_0000955	-	CT
Astro_cerebrum_1	-	CL_0000127	UBERON_0000955	-	CT
Astro_cerebrum_2	-	CL_0000127	UBERON_0000955	-	CT
Astro_Oligodendro_cerebrum	-	CL_0000125	UBERON_0000955	-	CT
Astro_Oligodendro_cerebrum_0	-	CL_0000125	UBERON_0000955	-	CT
Astro_Oligodendro_cerebrum_2	-	CL_0000125	UBERON_0000955	-	CT
Astro_Oligodendro_cerebrum_4	-	CL_0000125	UBERON_0000955	-	CT
Astrocyte	-	CL_0000127	UBERON_0001017	BTO_0000099	CT
astrocyte	-	CL_0000127	UBERON_0001017	BTO_0000099	CT
Astrocyte - cerebellum donor1	-	CL_0002603	UBERON_0002037	-	CT
Astrocyte - cerebellum donor2	-	CL_0002603	UBERON_0002037	-	CT
